Nombre,Edad,EstadoCivil,Hijos,Residencia,propiedades,vivienda,educacion,empleo,telefono,Ingreso,balance,creditos_otro,suscrito notificaciones,Cta_Ahorros,Cta_Corriente,tarjeta_credito,monto_credito,duracion,tasa_mensual,mora_otros,Limite_Credito,razonPrestamo
Enrique José María Catalán Arregui,48,H Soltero,1,2,Propietario automóviles,Propietario,Superior,Empresario,No,25000-45000,81,Bancario,0,SI,SI,1,12204,48,2,no,entre 0-5000,Negocio
Sergio Fuertes,27,H Soltero,1,2,desconocido/ninguno,Propietario,Superior,Empresario,Si,Menor a 25000,231,ninguno,0,SI,SI,1,9157,60,2,no,entre 0-5000,Viaje
Hermenegildo Bárcena Vall,37,H Soltero,0,3,Propietario de Bienes Raices,Alquiler,Superior,Dependiente,Si,Mayor a 45000,1161,ninguno,0,SI,SI,1,3676,6,1,no,Sin linea de crédito,Vehículo
Arcelia Márquez,21,F Casada,0,4,Propietario automóviles,Alquiler,secundaria,Dependiente,Si,Menor a 25000,-45,ninguno,1,SI,SI,1,3441,30,2,no,entre 0-5000,Mejora Vivienda
Mariano Perez Barreda,49,H divorciado,2,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,231,ninguno,0,NO,NO,1,640,12,4,no,Sin limite,Vehículo
Iker Cal Valls,27,H Soltero,0,3,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,36,ninguno,0,SI,NO,1,3652,21,2,no,entre 0-5000,Negocio
Hernando Cadenas-Bartolomé,32,H Soltero,0,2,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,1570,Bancario,1,SI,NO,0,1530,18,3,no,Sin limite,Vehículo
Silvestre Méndez Posada,38,H divorciado,0,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,25000-45000,7050,Bancario,1,SI,SI,0,3914,48,4,no,Sin limite,Negocio
Trini del Ramis,22,F divorciada,2,1,Propietario automóviles,Alquiler,primaria,Dependiente,Si,Menor a 25000,3704,ninguno,0,SI,NO,0,1858,12,4,no,Sin linea de crédito,Mejora Vivienda
Goyo Lucena Morata,65,H Soltero,2,4,desconocido/ninguno,Propietario,Superior,Dependiente,Si,Mayor a 45000,6619,ninguno,1,SI,SI,0,2600,18,4,no,Sin linea de crédito,Viaje
Chus Sans Santamaría,35,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,-84,ninguno,0,SI,SI,0,1979,15,4,no,Sin limite,Viaje
Geraldo Rubio Acuña,41,H Soltero,0,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,25000-45000,1509,ninguno,0,SI,SI,1,2116,6,2,no,mayor 5000,Mejora Vivienda
Emilio Ruiz Sala,29,H Soltero,2,3,desconocido/ninguno,Propietario,Superior,Dependiente,Si,Menor a 25000,1134,ninguno,1,SI,SI,0,1437,9,2,no,entre 0-5000,Vehículo
Alejandro Medina Bernad,36,H Soltero,0,4,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,No,Menor a 25000,146,ninguno,0,SI,SI,1,4042,42,4,no,Sin limite,Mejora Vivienda
Marcos Puig Ponce,64,H Soltero,0,4,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,25000-45000,9449,ninguno,0,SI,SI,1,3832,9,1,no,Sin limite,Estudios
Francisca Salazar-Alcalde,28,F Soltera,1,4,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,374,ninguno,0,NO,SI,0,3660,24,2,no,Sin linea de crédito,Viaje
Fabián Fortuny Heredia,44,H Soltero,3,3,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,88,Bancario,1,NO,SI,1,1553,18,4,no,Sin linea de crédito,Mejora Vivienda
Héctor del Seco,23,H Soltero,1,1,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,2764,ninguno,0,NO,SI,0,1444,15,4,no,entre 0-5000,Viaje
Josefa Barroso,19,F Casada,2,2,Propietario automóviles,Alquiler,Superior,Dependiente,Si,Menor a 25000,2,ninguno,1,SI,SI,0,1980,9,2,no,Sin limite,Mejora Vivienda
María Manuela Pulido Amat,25,F Casada,2,4,Propietario automóviles,Propietario,Superior,Técnico,No,Menor a 25000,8023,ninguno,1,SI,NO,0,1355,24,3,no,entre 0-5000,Vehículo
Alfredo Isidro Carballo Roda,47,H Soltero,1,4,Propietario apartamentos,Propietario,secundaria,Dependiente,No,Menor a 25000,289,Bancario,0,SI,SI,0,1393,12,4,no,Sin limite,Estudios
Socorro Garcia Roca,28,F divorciada,3,1,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,0,ninguno,0,SI,NO,0,1376,24,4,no,Sin limite,Viaje
Paco de Escamilla,21,H Soltero,0,4,Propietario automóviles,Propietario,Superior,Dependiente,No,25000-45000,1382,ninguno,0,SI,SI,0,15653,60,2,no,Sin limite,Viaje
Amada Romeu Bartolomé,34,F divorciada,2,3,Propietario automóviles,Propietario,Superior,Dependiente,Si,25000-45000,280,ninguno,0,SI,SI,0,1493,12,4,si,Sin limite,Viaje
Ignacio Morcillo-Grande,26,H Soltero,3,2,Propietario apartamentos,Propietario,primaria,Dependiente,No,Menor a 25000,2195,Bancario,1,SI,SI,0,4370,42,3,no,Sin linea de crédito,Viaje
Julia Franco Cuesta,27,F Casada,0,1,Propietario de Bienes Raices,Propietario,secundaria,No calificado,Si,Menor a 25000,33,ninguno,1,NO,SI,0,750,18,4,no,Sin linea de crédito,Estudios
Paulino de Nuñez,38,H Soltero,0,4,Propietario automóviles,Propietario,secundaria,Técnico,Si,Menor a 25000,275,ninguno,0,SI,SI,0,1308,15,4,no,entre 0-5000,Mejoras del hogar
Aarón Garrido-Márquez,40,H Soltero,2,2,Propietario apartamentos,Propietario,Superior,Empresario,No,Menor a 25000,703,ninguno,1,NO,SI,0,4623,15,3,no,Sin limite,Estudios
Roberto Losa Sosa,33,H Casado,0,2,Propietario automóviles,Propietario,desconocido,Dependiente,No,25000-45000,887,ninguno,0,NO,SI,1,1851,24,4,no,Sin limite,Viaje
Guiomar de Sastre,32,H Casado,0,1,Propietario apartamentos,Propietario,desconocido,Empresario,No,25000-45000,0,ninguno,0,NO,SI,0,1880,18,4,no,Sin linea de crédito,Viaje
Remigio Briones Iglesias,27,H Soltero,2,4,Propietario automóviles,Alquiler,secundaria,Dependiente,No,25000-45000,1178,ninguno,1,SI,NO,0,7980,36,4,no,Sin limite,Negocio
Fabricio Gallo Izquierdo,32,H divorciado,0,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Mayor a 45000,2763,ninguno,0,NO,SI,1,4583,30,2,no,Sin linea de crédito,Mejora Vivienda
Marita Bastida,26,F divorciada,2,2,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,890,ninguno,1,SI,SI,1,1386,12,2,no,Sin limite,Vehículo
Ruy Gallart Vaquero,38,H Soltero,2,3,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,Menor a 25000,548,Bancario,1,SI,SI,1,947,24,4,no,mayor 5000,Vehículo
Lucio Morcillo-Sevillano,40,H Soltero,1,4,Propietario automóviles,Alquiler,Superior,Técnico,Si,Mayor a 45000,272,ninguno,1,SI,SI,0,684,12,4,no,Sin linea de crédito,Estudios
Mariano Mariño Mármol,50,H Soltero,2,1,desconocido/ninguno,Propietario,Superior,Empresario,No,Menor a 25000,6269,ninguno,0,SI,SI,1,7476,48,4,no,Sin linea de crédito,Estudios
Hermenegildo Carlito Gomez Montaña,37,H Soltero,2,2,Propietario apartamentos,Propietario,secundaria,Técnico,Si,Menor a 25000,178,ninguno,1,NO,SI,0,1922,12,4,no,entre 0-5000,Mejora Vivienda
Hermenegildo Castilla Santiago,45,H Soltero,2,1,Propietario de Bienes Raices,Propietario,primaria,Dependiente,Si,25000-45000,252,ninguno,1,SI,NO,0,2303,24,4,no,Sin linea de crédito,Vehículo
Federico Segovia,42,H Soltero,2,4,Propietario automóviles,Propietario,Superior,Empresario,No,Menor a 25000,23663,ninguno,1,SI,NO,0,8086,36,2,no,entre 0-5000,Vehículo
Adolfo Salmerón,35,H Soltero,0,3,Propietario automóviles,Propietario,Superior,Dependiente,No,Menor a 25000,81,ninguno,0,NO,NO,0,2346,24,4,no,Sin limite,Divisas 
Rico Granados Lucas,22,H Soltero,1,4,desconocido/ninguno,Propietario,Superior,Dependiente,Si,Menor a 25000,59,ninguno,0,SI,SI,0,3973,14,1,no,Sin linea de crédito,Vehículo
Sigfrido Folch-Agustín,41,H Soltero,1,4,Propietario automóviles,Propietario,secundaria,Técnico,Si,Menor a 25000,1343,Bancario,1,SI,SI,0,888,12,4,no,entre 0-5000,Vehículo
Eugenio Cazorla Prat,37,H Soltero,0,3,Propietario automóviles,Propietario,secundaria,Dependiente,No,25000-45000,225,Préstamo a plazo,0,SI,SI,1,10222,48,4,no,Sin limite,Viaje
Daniela Cantero Heredia,28,F Casada,3,1,Propietario automóviles,Contrato A,primaria,Dependiente,Si,Mayor a 45000,0,ninguno,0,SI,NO,0,4221,30,2,no,entre 0-5000,Negocio
Remigio Berrocal,41,H Soltero,0,1,desconocido/ninguno,Propietario,primaria,Dependiente,No,Mayor a 45000,2538,ninguno,0,NO,SI,0,6361,18,2,no,entre 0-5000,Mejora Vivienda
Gastón Expósito-Salas,23,H Casado,0,4,Propietario de Bienes Raices,Alquiler,primaria,Dependiente,Si,25000-45000,43,ninguno,0,SI,SI,0,1297,12,3,no,mayor 5000,Viaje
Pepito Cerdá Bilbao,23,H Casado,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,57,ninguno,1,NO,SI,0,900,12,4,no,Sin linea de crédito,Vehículo
Amador Amaro Quero Mancebo,50,H Soltero,1,2,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,Menor a 25000,-117,ninguno,0,SI,SI,1,2241,21,4,no,Sin limite,Mejora Vivienda
Lupe Amor Riba,35,H Soltero,1,1,Propietario apartamentos,Propietario,secundaria,Empresario,No,25000-45000,666,Préstamo a plazo,0,SI,SI,1,1050,6,4,no,entre 0-5000,Mejora Vivienda
Olivia Miranda Peral,50,F Soltera,1,4,Propietario apartamentos,Propietario,Superior,Técnico,Si,25000-45000,0,ninguno,0,NO,SI,0,1047,6,2,no,mayor 5000,Estudios
Gabriel España Conde,27,H Soltero,2,2,desconocido/ninguno,Propietario,Superior,Empresario,No,25000-45000,25,Bancario,0,SI,SI,0,6314,24,4,no,Sin limite,Otro
Calixto Casals Lledó,34,H Soltero,0,2,Propietario automóviles,Propietario,primaria,Dependiente,No,25000-45000,1034,Préstamo a plazo,0,SI,NO,0,3496,30,4,no,entre 0-5000,Mejora Vivienda
Emma Franch Becerra,27,F divorciada,0,1,Propietario de Bienes Raices,Propietario,secundaria,Dependiente,Si,Menor a 25000,324,Préstamo a plazo,0,SI,SI,1,3609,48,1,no,Sin limite,Negocio
Vinicio Urrutia,43,H Soltero,0,4,Propietario apartamentos,Alquiler,secundaria,Dependiente,No,Menor a 25000,0,ninguno,1,SI,SI,0,4843,12,3,no,Sin linea de crédito,Vehículo
Alejo Blasco-Escribano,47,H Soltero,2,4,Propietario apartamentos,Propietario,Superior,Dependiente,Si,Menor a 25000,0,ninguno,0,SI,SI,0,3017,30,4,no,mayor 5000,Viaje
Manuel Sarmiento Franch,27,H Soltero,0,3,Propietario apartamentos,Propietario,primaria,Técnico,No,Menor a 25000,621,ninguno,0,SI,SI,1,4139,24,3,no,Sin limite,Negocio
Fabián Herrera Hurtado,31,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,25000-45000,138,ninguno,0,SI,SI,0,5742,36,2,no,Sin limite,Negocio
Celso Luciano Céspedes Sáez,42,H Soltero,2,4,Propietario apartamentos,Propietario,secundaria,Empresario,No,Menor a 25000,4063,ninguno,0,NO,SI,0,10366,60,2,no,Sin limite,Vehículo
Josué Torrens Pedrosa,24,H Casado,3,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,11084,ninguno,0,SI,SI,0,2080,6,1,no,Sin limite,Vehículo
Rogelio Mateo Otero,41,H Soltero,0,2,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,Menor a 25000,310,Bancario,1,NO,SI,0,2580,21,4,no,Sin limite,Negocio
Adora Zabaleta Alberdi,26,F Casada,3,4,Propietario automóviles,Alquiler,desconocido,Empresario,No,Menor a 25000,73,ninguno,0,SI,SI,1,4530,30,4,no,Sin limite,Viaje
Hilario Bonet-Macias,33,H Soltero,2,4,Propietario automóviles,Propietario,Superior,Dependiente,No,25000-45000,1808,ninguno,0,SI,NO,1,5150,24,4,no,Sin limite,Mejora Vivienda
Juan Pablo Arjona Hernando,24,H Casado,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,1281,ninguno,1,SI,SI,0,5595,72,2,no,entre 0-5000,Viaje
Iván Pedro Raya,64,H Soltero,2,4,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,Mayor a 45000,64,Bancario,0,NO,NO,0,2384,24,4,no,Sin linea de crédito,Viaje
Lorenza Manzanares Llopis,26,F Soltera,0,1,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,25000-45000,2,ninguno,0,SI,SI,1,1453,18,3,no,Sin limite,Viaje
Leticia Vicens Niño,56,F Casada,1,2,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,25000-45000,60,ninguno,0,SI,SI,1,1538,6,1,no,Sin limite,Estudios
Pedro Alfonso Cornejo,37,H Soltero,0,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,Mayor a 45000,133,ninguno,0,NO,SI,0,2279,12,4,no,Sin limite,Viaje
Isaac Puerta Pujadas,33,H Casado,2,3,Propietario de Bienes Raices,Propietario,primaria,Dependiente,Si,Menor a 25000,3706,Bancario,0,SI,NO,0,1478,15,4,no,Sin limite,Viaje
Matías Perez Valle,47,H Casado,3,3,desconocido/ninguno,Propietario,desconocido,Dependiente,No,25000-45000,174,ninguno,0,SI,SI,0,5103,24,3,no,Sin limite,Viaje
Jose Carlos Calderon Carreño,31,H Soltero,3,3,Propietario apartamentos,Propietario,secundaria,Técnico,No,Menor a 25000,251,ninguno,0,NO,SI,0,9857,36,1,no,entre 0-5000,Negocio
Gonzalo Gárate Cabo,34,H Soltero,1,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,25000-45000,4153,ninguno,0,SI,SI,0,6527,60,4,no,Sin limite,Vehículo
Elías Casals Sosa,27,H Soltero,1,2,Propietario apartamentos,Propietario,Superior,Dependiente,No,Menor a 25000,985,ninguno,0,SI,SI,0,1347,10,4,no,mayor 5000,Viaje
Goyo Arnal Menéndez,30,H Soltero,0,3,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,Menor a 25000,168,ninguno,0,NO,SI,1,2862,36,4,no,entre 0-5000,Vehículo
Emigdio Marí Pardo,35,H Soltero,1,4,Propietario automóviles,Propietario,secundaria,Dependiente,No,Menor a 25000,1550,ninguno,0,SI,SI,0,2753,9,3,no,Sin limite,Viaje
Xavier Acuña Coll,31,H Soltero,0,3,Propietario apartamentos,Propietario,Superior,Dependiente,Si,25000-45000,7708,ninguno,0,SI,SI,0,3651,12,1,no,Sin linea de crédito,Vehículo
Silvio Mancebo Alfaro,25,H divorciado,0,3,Propietario apartamentos,Propietario,primaria,Dependiente,Si,Menor a 25000,-12,ninguno,0,SI,SI,1,975,15,2,no,Sin linea de crédito,Mejora Vivienda
Carla Nogués Pou,25,F divorciada,0,2,Propietario de Bienes Raices,Propietario,primaria,Técnico,Si,Menor a 25000,6483,ninguno,0,SI,NO,1,2631,15,3,no,entre 0-5000,Mejoras del hogar
Sosimo Canales Molins,29,H Soltero,2,1,Propietario automóviles,Propietario,Superior,Dependiente,Si,Menor a 25000,60,ninguno,0,NO,SI,0,2896,24,2,no,entre 0-5000,Viaje
Jose Ignacio Alcázar Sanabria,44,H Soltero,1,3,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,25000-45000,3339,ninguno,0,NO,SI,1,4716,6,1,no,Sin linea de crédito,Vehículo
Amor Armengol Alberdi,28,H Soltero,2,2,Propietario automóviles,Propietario,Superior,Dependiente,No,25000-45000,1161,ninguno,0,SI,SI,1,2284,24,4,no,Sin limite,Viaje
Dani Estevez Solís,50,H Soltero,0,4,Propietario apartamentos,Alquiler,primaria,Dependiente,Si,25000-45000,599,ninguno,0,NO,SI,0,1236,6,2,no,Sin limite,Divisas 
Clímaco Haro,29,H Soltero,2,3,Propietario de Bienes Raices,Propietario,desconocido,Dependiente,Si,25000-45000,28,ninguno,0,SI,SI,0,1103,12,4,no,entre 0-5000,Viaje
Dalila del Elías,38,F Casada,0,2,Propietario apartamentos,Propietario,Superior,No calificado,Si,25000-45000,1430,ninguno,0,SI,NO,0,926,12,1,no,Sin limite,Vehículo
Hilario Nogués Mulet,24,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,25000-45000,35,ninguno,0,SI,SI,0,1800,18,4,no,Sin limite,Viaje
Victoriano Patiño Barberá,40,H Soltero,1,4,Propietario automóviles,Alquiler,Superior,Empresario,No,Menor a 25000,6000,ninguno,0,NO,NO,1,1905,15,4,no,mayor 5000,Estudios
Guiomar de Orozco,29,F Soltera,2,4,Propietario automóviles,Alquiler,secundaria,Técnico,Si,Menor a 25000,0,ninguno,1,SI,SI,1,1123,12,4,no,Sin limite,Mejora Vivienda
Trinidad Jose Angel Báez Guzman,46,H Soltero,2,4,desconocido/ninguno,Propietario,secundaria,Dependiente,No,25000-45000,340,ninguno,1,SI,SI,0,6331,48,4,no,Sin linea de crédito,Divisas 
Sofía Pozuelo Caro,47,F divorciada,0,2,desconocido/ninguno,Propietario,Superior,Dependiente,No,Menor a 25000,0,ninguno,0,NO,SI,0,1377,24,4,no,mayor 5000,Viaje
Melchor Duarte Salom,41,H Soltero,1,2,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,3,Préstamo a plazo,0,SI,SI,1,2503,30,4,no,entre 0-5000,Negocio
Nazaret Cabañas,32,F divorciada,2,1,Propietario apartamentos,Propietario,Superior,Dependiente,No,25000-45000,445,ninguno,0,SI,SI,0,2528,27,4,no,entre 0-5000,Negocio
Ester Aguado Bárcena,35,F Casada,0,4,desconocido/ninguno,Propietario,Superior,Dependiente,Si,Menor a 25000,874,ninguno,0,NO,SI,1,5324,15,1,no,Sin limite,Vehículo
Teobaldo López-Raya,24,H Soltero,0,2,Propietario apartamentos,Propietario,secundaria,Dependiente,Si,Menor a 25000,705,ninguno,1,SI,SI,1,6560,48,3,no,entre 0-5000,Vehículo
Adora Bravo Valverde,25,F divorciada,1,3,Propietario apartamentos,Alquiler,desconocido,Dependiente,Si,25000-45000,1033,ninguno,1,SI,SI,0,2969,12,4,no,entre 0-5000,Mejora Vivienda
Nazaret Oriana Cases Dueñas,25,F divorciada,3,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,Si,25000-45000,1354,ninguno,0,SI,SI,0,1206,9,4,no,entre 0-5000,Viaje
Eduardo Peral Osuna,37,H Soltero,0,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,25000-45000,123,ninguno,0,SI,NO,0,2118,9,2,no,entre 0-5000,Viaje
Álvaro de Amor,32,H Soltero,0,3,Propietario apartamentos,Propietario,primaria,Empresario,No,Mayor a 45000,8894,Bancario,0,NO,SI,0,629,18,4,no,Sin limite,Viaje
Gloria Baena,35,F Casada,0,4,desconocido/ninguno,Propietario,secundaria,Dependiente,Si,Menor a 25000,429,ninguno,1,SI,SI,0,1198,6,4,no,Sin linea de crédito,Estudios
Florentino Bonet Machado,46,H Soltero,2,4,Propietario de Bienes Raices,Propietario,primaria,Empresario,No,Menor a 25000,14752,ninguno,0,SI,SI,1,2476,21,4,no,Sin limite,Divisas 
Rufino Pujol Tudela,25,H Soltero,2,4,Propietario de Bienes Raices,Propietario,primaria,Técnico,Si,Menor a 25000,67,ninguno,0,SI,SI,0,1138,9,4,no,Sin linea de crédito,Viaje
Desiderio Hernando,27,H Soltero,3,2,desconocido/ninguno,Propietario,secundaria,Empresario,No,25000-45000,39,ninguno,1,NO,NO,1,14027,60,4,no,entre 0-5000,Vehículo
Seve Querol,63,H Soltero,0,4,Propietario automóviles,Propietario,Superior,Dependiente,Si,25000-45000,102,ninguno,0,NO,SI,0,7596,30,1,no,Sin limite,Divisas 
Leonardo Campos Merino,40,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,25000-45000,1790,ninguno,0,SI,SI,0,3077,30,3,no,Sin limite,Viaje
Reyes Arellano Estevez,32,H Soltero,1,2,desconocido/ninguno,Propietario,Superior,Empresario,No,25000-45000,15311,ninguno,0,SI,SI,0,1505,18,4,no,Sin limite,Viaje
Mauricio Carro Macías,31,H Soltero,0,2,Propietario automóviles,Propietario,secundaria,Dependiente,No,25000-45000,-635,ninguno,0,SI,SI,0,3148,24,3,no,mayor 5000,Viaje
Rufino Ángel Prieto,31,H Casado,2,4,Propietario automóviles,Propietario,secundaria,Dependiente,No,Mayor a 45000,115,Bancario,0,SI,NO,0,6148,20,3,no,entre 0-5000,Divisas 
Roque Ibarra Revilla,34,H Soltero,3,2,Propietario automóviles,Propietario,Superior,Empresario,No,Menor a 25000,10786,ninguno,1,SI,SI,1,1337,9,4,no,mayor 5000,Viaje
Amparo del Calvet,24,F Soltera,0,2,Propietario apartamentos,Alquiler,secundaria,Dependiente,Si,Menor a 25000,498,Bancario,1,NO,NO,0,433,6,4,no,entre 0-5000,Estudios
Asunción del Sanjuan,24,F Soltera,3,2,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,Menor a 25000,1045,ninguno,1,SI,SI,0,1228,12,4,no,Sin linea de crédito,Vehículo
Ana Patiño Gomila,66,F divorciada,2,3,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Mayor a 45000,810,ninguno,0,SI,NO,1,790,9,4,no,entre 0-5000,Viaje
Febe Arteaga Noriega,21,F Casada,1,3,Propietario de Bienes Raices,Alquiler,Superior,Dependiente,Si,25000-45000,-162,ninguno,1,SI,SI,0,2570,27,3,no,Sin limite,Vehículo
Chelo Agustín Echeverría,41,F Soltera,1,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Mayor a 45000,55,Bancario,0,SI,NO,1,250,6,2,no,Sin limite,Vehículo
Quique Tudela Bayo,47,H Casado,1,2,Propietario apartamentos,Propietario,secundaria,Técnico,Si,Menor a 25000,586,ninguno,0,SI,SI,0,1316,15,2,no,Sin limite,Viaje
Narcisa Campoy Ros,25,F divorciada,3,4,Propietario automóviles,Alquiler,secundaria,Dependiente,Si,25000-45000,455,Bancario,1,SI,NO,0,1882,18,4,no,Sin linea de crédito,Viaje
Calista del Lillo,59,F Soltera,2,3,desconocido/ninguno,Alquiler,Superior,Dependiente,Si,Mayor a 45000,1010,ninguno,1,NO,SI,0,6416,48,4,no,entre 0-5000,Negocio
Nilo Ribera,36,H divorciado,0,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,25000-45000,509,ninguno,0,SI,SI,0,1275,24,2,no,mayor 5000,Negocio
Basilio Barragán Villar,33,H Soltero,0,2,Propietario automóviles,Contrato A,desconocido,Dependiente,Si,25000-45000,2929,ninguno,0,SI,SI,0,6403,24,1,no,entre 0-5000,Viaje
Alfredo Blasco Aragonés,21,H Soltero,3,4,Propietario de Bienes Raices,Alquiler,secundaria,Técnico,Si,25000-45000,3071,ninguno,1,SI,SI,0,1987,24,2,no,Sin linea de crédito,Viaje
Eva del Monreal,44,F Soltera,0,2,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Menor a 25000,153,ninguno,0,SI,SI,0,760,8,4,no,entre 0-5000,Viaje
Lucila Amaya Campos,28,F Casada,2,4,Propietario automóviles,Alquiler,secundaria,Dependiente,No,Menor a 25000,1146,ninguno,0,NO,SI,0,2603,24,2,no,Sin limite,Divisas 
María Ángela Rosado Hervia,37,F divorciada,3,1,Propietario de Bienes Raices,Propietario,primaria,Dependiente,Si,Menor a 25000,1092,ninguno,0,SI,SI,1,3380,4,1,no,Sin limite,Vehículo
Carla Orozco,29,F Casada,2,2,desconocido/ninguno,Propietario,Superior,No calificado,Si,25000-45000,3463,Bancario,0,SI,SI,0,3990,36,3,no,entre 0-5000,Electrodomésticos
Araceli Palomino Rey,23,F Casada,0,4,Propietario automóviles,Alquiler,secundaria,Empresario,Si,Menor a 25000,1158,ninguno,1,NO,SI,0,11560,24,1,no,entre 0-5000,Divisas 
Rodrigo Neira Escolano,35,H Soltero,2,4,Propietario automóviles,Propietario,secundaria,Técnico,No,25000-45000,26,ninguno,0,SI,SI,1,4380,18,3,no,Sin linea de crédito,Vehículo
Luis Ángel Garcia,45,H Soltero,1,3,desconocido/ninguno,Propietario,secundaria,Empresario,No,Mayor a 45000,566,ninguno,0,SI,SI,0,6761,6,1,no,Sin limite,Vehículo
Viviana Solé Salmerón,26,F Soltera,2,4,Propietario automóviles,Alquiler,secundaria,Técnico,Si,25000-45000,204,ninguno,1,NO,SI,1,4280,30,4,no,entre 0-5000,Negocio
Damián Benitez Bustos,32,H Soltero,0,3,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,480,Bancario,0,SI,SI,0,2325,24,2,no,Sin linea de crédito,Vehículo
Benjamín Tur,23,H Soltero,0,4,Propietario de Bienes Raices,Propietario,secundaria,Técnico,Si,25000-45000,1855,Préstamo a plazo,0,SI,SI,0,1048,10,4,no,entre 0-5000,Viaje
Benjamín Martí Oliva,41,H Soltero,1,3,Propietario apartamentos,Propietario,secundaria,Dependiente,No,25000-45000,1034,ninguno,0,SI,SI,0,3160,21,4,no,Sin limite,Viaje
Adrián Reina García,22,H Soltero,3,4,Propietario de Bienes Raices,Propietario,Superior,Dependiente,No,Mayor a 45000,3250,Préstamo a plazo,0,SI,SI,0,2483,24,4,no,Sin linea de crédito,Mejora Vivienda
Teodoro Barrena-Silva,30,H Soltero,0,4,Propietario apartamentos,Propietario,secundaria,Empresario,No,25000-45000,1633,ninguno,0,NO,SI,0,14179,39,4,no,Sin linea de crédito,Mejora Vivienda
Eutimio Lorenzo,28,H Soltero,1,1,Propietario apartamentos,Propietario,secundaria,Técnico,Si,Menor a 25000,0,Bancario,0,NO,NO,1,1797,13,3,no,Sin linea de crédito,Negocio
Chus Báez Rivera,23,F divorciada,0,4,Propietario automóviles,Alquiler,primaria,Dependiente,Si,Menor a 25000,3334,ninguno,0,SI,SI,1,2511,15,1,no,Sin linea de crédito,Vehículo
Matilde Otero Téllez,37,F Soltera,1,1,Propietario de Bienes Raices,Propietario,Superior,Técnico,Si,Mayor a 45000,4020,ninguno,1,SI,SI,0,1274,12,3,no,Sin linea de crédito,Vehículo
Rafa Montesinos Calvo,26,H Soltero,0,3,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Menor a 25000,66,ninguno,0,SI,NO,1,5248,21,1,no,Sin limite,Divisas 
Remigio Rosell Figueroa,33,H Soltero,2,2,Propietario automóviles,Propietario,secundaria,Dependiente,Si,Mayor a 45000,-41,ninguno,0,NO,SI,0,3029,15,2,no,Sin limite,Divisas 
Gabriela Teresa Alcalá Delgado,49,F Casada,2,1,Propietario apartamentos,Propietario,secundaria,Dependiente,No,Menor a 25000,322,Bancario,0,SI,SI,0,428,6,2,no,Sin linea de crédito,Mejora Vivienda
Narcisa Teruel-Adán,23,F Casada,0,2,Propietario automóviles,Propietario,primaria,Técnico,Si,Menor a 25000,2643,ninguno,1,SI,NO,0,976,18,1,no,Sin linea de crédito,Vehículo
